Business,Service,Original Service Name,Description,Micro Category,Macro Category,Service Category,Discounted Price,Original Price,
Lush Massage,Sore Muscle Massage,Integrative Massage (60 min),"This massage is a blend of light and deep work to release the layers of built up muscle tension while also taking you into deep relaxation so you can find lasting relief from stress and pain. Each session is different, designed to meet your unique needs, and draws mainly on Lomi Lomi Hawaiian Massage, Craniosacral Therapy, Trigger Point Therapy, Deep Tissue Massage, and Gua Sha. Pressure ranges from light to deep throughout the session.",Sore Muscle Massage,Massage,Spa,,139,
Massage Your Body,Sore Muscle Massage,Trigger Point Massage (60 min),Ease sore muscles using natural body prompts to alleviate injury and overuse from repetitive motions.,Sore Muscle Massage,Massage,Spa,,120,
Massage Your Body,Sore Muscle Massage,Trigger Point Massage (90 min),Ease sore muscles using natural body prompts to alleviate injury and overuse from repetitive motions.,Sore Muscle Massage,Massage,Spa,,170,
Massage Your Body,Sore Muscle Massage,Trigger Point Massage (120 min),Ease sore muscles using natural body prompts to alleviate injury and overuse from repetitive motions.,Sore Muscle Massage,Massage,Spa,,250,
Lucid Beauty,Spa Add-on,Intensive Booster Facial,"Can be added to most facials, and peels to intensify the results. 

15 min. -$50?

   �  LED Light Therapy
",,,Spa,,50,
SenSpa,Spa Add-on,ADD CRANIO-SACRAL  TO MASSAGE,,,,Spa,,80,
SenSpa,Spa Add-on,ADD DRY SKIN BRUSHING TO MASSAGE,,,,Spa,,45,
SenSpa,Spa Add-on,ADD KERATIN HAND + FOOT MOISTURIZING WRAP  TO MASSAGE,,,,Spa,,45,
SenSpa,Spa Add-on,ADD LEMONGRASS BODY SCRUB  TO MASSAGE  ,,,,Spa,,95,
SenSpa,Spa Add-on,ADD REFLEXOLOGY TO MASSAGE ,,,,Spa,,45,
SenSpa,Spa Add-on,ADD REIKI  TO MASSAGE ,,,,Spa,,45,
SenSpa,Spa Add-on,ADD SENSCALP HERBAL TREATMENT TO MASSAGE ,,,,Spa,,45,
SenSpa,Spa Add-on,ADD TIBETAN FOOT RITUAL  TO MASSAGE ,,,,Spa,,90,
Archimedes Banya,Spa Package Deal,Deluxe Banya Pass,"Boost the health and wellness benefits of your Banya visit by upgrading to a Deluxe Banya Pass- it combines our most popular banya and spa treatments.

Includes:

a basic bath pass - $47 value
a platza massage - $37 value
an Archimedes Hammam body wash - $48 value
a �- hour of your choice of spa services (must specify choice of massage or facial at time of booking)- $55 value",Package Deal,Spa Pass,Spa,160,187,
Archimedes Banya,Spa Package Deal,Premium Banya Pass,"Our most luxurious package. Maximize the health and wellness benefits of your Banya visit by upgrading to a Premium Banya Pass- it combines our most popular banya and spa treatments. Great for a first time visitor. Services can also be arranged to accomodate couples.

Includes:

Archimedes signature Banya hat - $18 value
a Full Day Banya pass - $70 value
a platza massage - $37 value
Archimedes signature drink kvass - $3.50 value
a Hammam body wash - $48 value
one hour of your choice of massage or facial - $92 (must specify choice of massage or facial at time of booking)-  value",Package Deal,Spa Pass,Spa,230,268,
Archimedes Banya,Spa Package Deal,Basic Banya Pass (3 hr),"A Basic Banya pass allows 3 hours of access to the following:

State-of-the-art bath amenities (clothed and clothing-optional) such as Russian �light steam� banya, Finnish dry sauna, Turkish �heavy steam� room (Hammam), pool, Jacuzzi, cold plunge, heated benches, and showers. Towels, self locking locker, robes, sandals and toiletries (shampoo, body wash, conditioner) provided.
Outdoor decks (clothed and clothing-optional) with chaises, fitness amenities and stunning views of San Francisco Bay
Television Lounge (clothed) for socializing and relaxation
Access to Zteamer�s � our tea, beer bar and lounge, featuring delicious food choices
Access to the Spa � our full-service spa features massages, body scrubs, facials and hydrotherapy treatments (additional charge for spa treatments)
Access to premium banya services such as venik platza and Hammam body wash treatments (additional charge) 
Access to private VIP lounges (additional charge)",Spa Pass,Spa Pass,Spa,,47,
Archimedes Banya,Spa Package Deal,Basic Banya Pass (3 hr),"Weekday happy hour from 12 PM - 4 PM. $39 for the 3 hour Basic Banya Pass between 12 PM - 4 PM Mondays, Wednesdays, Thursdays, and Fridays. Not valid on holidays.",Spa Pass,Spa Pass,Spa,39,47,
Bare,Spa Package Deal,Airbrush Tanning 3 Pack,,Package Deal,Tanning,Spa,100,120,
Bare,Spa Package Deal,Airbrush Tanning 6 Pack,,Package Deal,Tanning,Spa,150,240,
Cocoon Urban Day Spa,Spa Package Deal,Spa Package Deal,Need to call to book,,Package Deal,Spa,126,180,
Synergy Mind Body Wellness,Spa Package Deal,60 min. Massage/Facial combo Total treatment 80 min,,,,Spa,,175,
Synergy Mind Body Wellness,Spa Package Deal,90 min. Massage/Facial combo Total treatment 110 min,,,,Spa,,210,
Synergy Mind Body Wellness,Spa Package Deal,2 hour Massage/Facial Combo Total treatment 140 min.,,,,Spa,,245,
Top Coat,Spa Package Deal,Facial Package Deal,Includes a peel to enhance skin cell turnover.,Package Deal,Facial,Spa,150,195,
7 Nail Spa,Specialty Mani Pedi,Manicure & Nu Skin Pedicure,,Basic Mani Specialty Pedi,Mani Pedi,Nails,45,48,
Cascade Nail & Spa,Specialty Mani Pedi,Specialty Mani Pedi,,Specialty Mani Pedi,Mani Pedi,Nails,62,63,
Cascade Nail & Spa,Specialty Mani Pedi,Specialty Mani Pedi,,Specialty Mani Pedi,Mani Pedi,Nails,63,65,
Castro Nail Salon,Specialty Mani Pedi,Specialty Mani Pedi,"Our luxurious castro manicure is one of the most pampering and beautifying treatments your hands can recieve. it includes our softening paraffin treatment, passion fruit exfoliation and aromatherapy massage, lotion and polish. Our luxurious castro pedicure is the finest treatment to pamper and beautify your feet. Start with a soak in Marine sea salts, followed by toenail shaping, cuticle grooming, our softening peach paraffin treatment, passionn fruit exfoliation and aromatheraphy oil, massage and polish.",Specialty Mani Pedi,Mani Pedi,Nails,70,80,
City Beauty Salon,Specialty Mani Pedi,Specialty Mani Pedi,,Specialty Mani Pedi,Mani Pedi,Nails,,25,
City Famous Nail Spa,Specialty Mani Pedi,Specialty Mani Pedi,,Specialty Mani Pedi,Mani Pedi,Nails,70,75,
City Famous Nail Spa,Specialty Mani Pedi,Specialty Mani Pedi,Need to show coupon from their website: http://cityfamousnailspa.com/coupon-2/,Specialty Mani Pedi,Mani Pedi,Nails,45,60,
Cocoon Urban Day Spa,Specialty Mani Pedi,Specialty Mani Pedi,"Shaping and cuticle care followed by a mango and guava scrub, heated mittens and our signature massage. For pedicure, shaping and cuticle care, Choose your own blend of essential oils for a relaxing foot and leg massage, followed with heated booties.",Specialty Mani Pedi,Mani Pedi,Nails,75,80,
Cocoon Urban Day Spa,Specialty Mani Pedi,Specialty Mani Pedi,"This is the ultimate in care for your hands, begins with an exfoliating hand scrub, nail and cuticle care, steam, paraffin dip with serious time given to massage.The pedicure is a facial for your soles. We soak, buff, scrub, steam, apply a hydrating foot mask, followed by paraffin dip and some serious massage.",Specialty Mani Pedi,Mani Pedi,Nails,100,110,
Four Seasons Nail & Spa,Specialty Mani Pedi,Deluxe Pedicure & Manicure (10 min massage & Paraffin wax),,Specialty Mani Pedi,Mani Pedi,Nails,50,70,
Four Seasons Nail & Spa,Specialty Mani Pedi,"Signature Pedicure & Manicure (20 min Massage, Mask & Praffin Wax)",,Specialty Mani Pedi,Mani Pedi,Nails,,65,
Gelous Nails,Specialty Mani Pedi,Deluxe Mani & Pedi,,Specialty Mani Pedi,Mani Pedi,Nails,50,52,
Gentle Nails Salon,Specialty Mani Pedi,Gun Oil Mani + Pedi,,Specialty Mani Pedi,Mani Pedi,Nails,70,75,
Gentle Nails Salon,Specialty Mani Pedi,Deluxe Mani + Pedi,,Specialty Mani Pedi,Mani Pedi,Nails,100,105,
Green Spa & Nail,Specialty Mani Pedi,Deluxe Manicure & Deluxe Pedicure,,Specialty Mani Pedi,Mani Pedi,Nails,70,75,
Green Spa & Nail,Specialty Mani Pedi,Manicure & Deluxe Pedicure,,Specialty Mani Pedi,Mani Pedi,Nails,60,65,
Hand Job Spa,Specialty Mani Pedi,Specialty Mani Pedi,"Our classic Mani Pedi with an addition of a sugar scrub to exfoliate dead tissue and give your skin a healthy glow.�Service includes a longer hand and feet massage and parafin for your feet, you'll be ready to knock 'em dead.",Specialty Mani Pedi,Mani Pedi,Nails,,85,
Hand Job Spa,Specialty Mani Pedi,Specialty Mani Pedi,"Our most popular manicure and pedicure focuses on keeping your hands and feet looking young and healthy. The service includes a peel (callous treatment), organic sugar scrub, mask, and warm parafin dip for super soft hands and feet.",Specialty Mani Pedi,Mani Pedi,Nails,,120,
It's M3 Time Nail Salon,Specialty Mani Pedi,Luxury Mani + Pedi,"Classic pedicure, foot steep in pedi bomb (a fragrant fuzz) with citrus + minty mask + exfoliating scrub + callus treatment + 10 min warm lotion foot massage + paraffin wax",Specialty Mani Pedi,Mani Pedi,Nails,55,60,
It's M3 Time Nail Salon,Specialty Mani Pedi,Citrus Orange Mani + Pedi,Luxury manicure + orange sugar scrub + 10 min massage with orange luxury lotion + paraffin wax,Specialty Mani Pedi,Mani Pedi,Nails,75,80,
JoJe Nail Spa,Specialty Mani Pedi,JoJe Deluxe Mani-Pedi Combo,"Deluxe Mani - Start with essential oils bath, Shaping & cuticle care, Special hand scrub, Warm organic coconut butter hand massage (5), Hot towels. Deluxe Pedi - Start with a special warm foot bath, Shaping & cuticle care, Organic brown sugar scrub, Callus treatment, Foot & leg message (10) with warm organic coconut butter, Paraffin treatment",Specialty Mani Pedi,Mani Pedi,Nails,52,57,
JoJe Nail Spa,Specialty Mani Pedi,JoJe Platinum Mani-Pedi Combo,"Platinum Mani - JoJe rosie platinum milk bath, Shaping & cuticle care, Exfoliating hand scrub, Hydrating hand mask, JoJe signature hand massage with organic coconut butter (10), Paraffin treatment. Platinum Pedi - JoJe platinum rosie milk bath, Shaping & cuticle care, Organic brown sugar foot scrub, Callus treatment, Hydrating foot mask, JoJe signature foot massage with organic coconut butter (12), Paraffin treatment",Specialty Mani Pedi,Mani Pedi,Nails,80,85,
La Petite Nail Shop,Specialty Mani Pedi,"Polish Up Mani + Sole-Mate Pedi: Mani - This essential mani includes a hydrating hand soak, clipping, cuticle pushing & buffing/polishing to perfection. Pedi - Rich w/ organic jojoba oil and loads of vitamin E. This pedi cleanses, exfoliates, moisturizes & is meant to be yours. Includes scrub, massage & perfect toes",,Basic Mani Specialty Pedi,Mani Pedi,Nails,,85,
La Petite Nail Shop,Specialty Mani Pedi,"Polish Up Mani + Smooth As Butter Pedi: Mani - This essential mani includes a hydrating hand soak, clipping, cuticle pushing & buffing/polishing to perfection. Pedi - Made especially for dry & sensitive skin, a luscious creamy & honey fragrance leaves the skin silky smooth. Treatment includes scrub, callus eliminator, massage, & amazing nails",,Basic Mani Specialty Pedi,Mani Pedi,Nails,,85,
La Petite Nail Shop,Specialty Mani Pedi,"Polish Up Mani + Gotta Have It All Pedi: Mani - This essential mani includes a hydrating hand soak, clipping, cuticle pushing & buffing/polishing to perfection",,Basic Mani Specialty Pedi,Mani Pedi,Nails,,95,
Lavande Nail Spa,Specialty Mani Pedi,Manicure + Spa Pedicure,,Basic Mani Specialty Pedi,Mani Pedi,Nails,47,54,
LUX SF,Specialty Mani Pedi,DeLUX Manicure & Pedicure,"This not-so-basic manicure includes nail shaping, cuticle care, an aromatherapy scrub, a relaxing and moisturizing hand massage with warmed lotion and polish + an extended massage and a hot, soothing and hydrating PerfectSense anti-aging paraffin wrap. This not-so-basic pedicure includes nail shaping, cuticle care, an aromatherapy scrub, callus buffing a relaxing and moisturizing massage with warmed lotion and polish + an extended massage and a hot, soothing and hydrating PerfectSense anti-aging paraffin wrap.",Specialty Mani Pedi,Mani Pedi,Nails,,110,
LUX SF,Specialty Mani Pedi,Custom Manicure & Pedicure,"This not-so-basic manicure includes nail shaping, cuticle care, an aromatherapy scrub, a relaxing and moisturizing hand massage with warmed lotion and polish + an extended massage and a hot, soothing and hydrating PerfectSense anti-aging paraffin wrap + hot stone massage'. This not-so-basic pedicure includes nail shaping, cuticle care, an aromatherapy scrub, callus buffing a relaxing and moisturizing massage with warmed lotion and polish + an extended massage and a hot, soothing and hydrating PerfectSense anti-aging paraffin wrap + the addition of intensive callus removal and a hot stone massage",Specialty Mani Pedi,Mani Pedi,Nails,,135,
LUX SF,Specialty Mani Pedi,Keratin Rejuvenation Manicure & Pedicure,A deep penetrating keratin emulsion wrap formulated to support� the nails to�grow healthier and stronger while leaving the skin unbelievably silky smooth. A deep penetrating keratin emulsion wrap formulated to support  the nails to grow healthier and stronger while leaving the skin unbelievably silky smooth. ,Specialty Mani Pedi,Mani Pedi,Nails,,90,
LUX SF,Specialty Mani Pedi,Elemis Manicure & Pedicure,"Our LUX manicure enveloped with Elemis� frangipani salt scrub and health oil, Elemis' Pro-Radiance Hand and Nail cr�me to soften the skin and strengthen the nails  Enjoy a warm Soyaffin paraffin glove, shoulder massage and a de-stress hand/arm massage finished w a nude nail, polish or nail buffing. Our LUX pedicure enveloped with Elemis� frangipani salt scrub, frangipani oil and a milk bath. Enjoy a warm Soyaffin paraffin foot wrap, foot and lower leg massage and a de-stress hand/arm massage, finished frangipani lotion then a nude nail, polish or nail buffing. All performed while seated",Specialty Mani Pedi,Mani Pedi,Nails,,140,
Mani Pedi Spa,Specialty Mani Pedi,Specialty Mani Pedi,,Specialty Mani Pedi,Mani Pedi,Nails,60,73,
Mani-Pedi Beauty Spa,Specialty Mani Pedi,Deluxe Manicure + Pedicure,Includes hot stone 10 min massage + paraffin dip,Specialty Mani Pedi,Mani Pedi,Nails,60,65,
Mizu Spa,Specialty Mani Pedi,Signature Manicure/Pedicure Combo,"Intense therapy for dry hands. This treatment includes an exfoliating scrub and a moisturizing massage. The service is finished with a natural buff or polish. A super hydrating pedicure to promote healthy, beautiful feet. Treatment includes a buff with diamonds, an exfoliant to smooth the skin, and a hydrating massage. The service is finished with a natural buff or polish. ",Specialty Mani Pedi,Mani Pedi,Nails,67,76,
Mizu Spa,Specialty Mani Pedi,Hot Stone Manicure/Pedicure Combo,"Take the manicure experience to new levels with our hot stone treatment which relieves and revitalizes. The hot stones combined with hydrating oils will increase circulation by adding warmth and penetration to the muscles. The service is finished with a natural buff or polish. Experience the penetrating warmth and healing energy, beginning with a diamond buff and a gentle exfoliation. A hot stone massage using aromatherapy oils stimulates the circulatory system to relieve tension and soothe sore muscles. Cuticles are perfected, nails clipped, reshaped and buffed or polished to perfection. ",Specialty Mani Pedi,Mani Pedi,Nails,105,120,
New Zen Spa,Specialty Mani Pedi,Specialty Mani Pedi,,Specialty Mani Pedi,Mani Pedi,Nails,,85,
Oliviana Nail Spa,Specialty Mani Pedi,Special Deluxe Manicure & Pedicure,with hot stone massage,Specialty Mani Pedi,Mani Pedi,Nails,,80,
Oliviana Nail Spa,Specialty Mani Pedi,Special Deluxe Gel Manicure & Pedicure,,Specialty Mani Pedi,Mani Pedi,Nails,,100,
Pampered Hands Salon,Specialty Mani Pedi,Luxury Manicure & Pedicure,A nourishing bath of lavender buds and lavender essential oils is prepared in warm water soak to moisture excessively dry and irritated skin. A sage cucumber salt scrub buffs away dead skin to reveal a smoother skin complete with muscle relief hot lotion massage.,Specialty Mani Pedi,Mani Pedi,Nails,,49,
Pampered Hands Salon,Specialty Mani Pedi,The Pampered Manicure & Pedicure,A luxury milk bath with orange peel to encourage shedding of the skin's upper layers. A cucumber salt scrub buffs away dead skin layers and massage you with lightly scented lotino. Then your feet and hands are wrapped in warm paraffin to improve the smooth and silky skin. Includes a 10 minute massage with hot creamy lotion.,Specialty Mani Pedi,Mani Pedi,Nails,,80,
Pearly Nails,Specialty Mani Pedi,Mandarin Honey Combo,,Specialty Mani Pedi,Mani Pedi,Nails,46,48,
Pearly Nails,Specialty Mani Pedi,Rosemary Mint Combo,,Specialty Mani Pedi,Mani Pedi,Nails,,50,
Pearly Nails,Specialty Mani Pedi,French Lavender Combo,,Specialty Mani Pedi,Mani Pedi,Nails,,60,
Polish Nail & Beauty Spa,Specialty Mani Pedi,Spa Mani/Pedi Pair,,Specialty Mani Pedi,Mani Pedi,Nails,,110,
Polish Nail & Beauty Spa,Specialty Mani Pedi,Milky Rose Mani/Pedi Pair,,Specialty Mani Pedi,Mani Pedi,Nails,,120,
Queen Bee Nail Salon,Specialty Mani Pedi,Ice Dancer Mani Pedi,"Includes Herbal Mineral Bath, Liquid Body Lufra, Baobab Body butter, and Icedancer Invigorating Gel. Your feet have been long awaiting for this rejuvenating pedicure. Say ahh�to a warm whirlpool soaking with Mineral Herbal Bath. Then a gentle massage and Walnut Husk Liquid Body Lufra exfoliation. While regular pediure components are tented, a calf massage with the Invigorating Icedancer and steamy towel wrap are added for restoring vitalty and energizing the legs. Dry heels are also treated with an all Spice Berry Sole solution. Finish with a soft yet intense hydrating Baobab Body Butter for an ultimate experience",Specialty Mani Pedi,Mani Pedi,Nails,,57,
Rosy Heels,Specialty Mani Pedi,Ultimate Manicure & Pedicure,"For this we use Rosy Heel's exclusive oil, lemon, milk and honey scrub mixture to remove dead skin cells finishing with a hand massage. Keep your nails looking healthy and beautiful with this treatment. The Essential Pedicure followed by a herbal scented milk and honey scrub to remove the dead cells and promote nail growth finishin goff with a warm lotion massage",Specialty Mani Pedi,Mani Pedi,Nails,,70,
Sensi Luxury Nails & Spa,Specialty Mani Pedi,Soy Milk Manicure & Pedicure,,Specialty Mani Pedi,Mani Pedi,Nails,,45,
SF Nail Bar,Specialty Mani Pedi,Refresh-Mint Mani-Pedi,,Specialty Mani Pedi,Mani Pedi,Nails,,69,
Simply Unique Nails,Specialty Mani Pedi,Deluxe Spa Manicure + Pedicure,,Specialty Mani Pedi,Mani Pedi,Nails,,55,
Soubella Nails Spa,Specialty Mani Pedi,Deluxe Mani and Pedi,"Epsom salt, lemon and essential oil water soak. Cucumber sugar scrub infused with vitamin oils. Premium hot stone massage with shea butter lotion. Hot towel wrap. Choice of paraffin wax or keratin gloves/booties",Specialty Mani Pedi,Mani Pedi,Nails,,85,
Sugarcoat,Specialty Mani Pedi,Sweet mani & pedi,,Specialty Mani Pedi,Mani Pedi,Nails,80,85,
Sugarcoat,Specialty Mani Pedi,Spa sweet mani & pedi,,Specialty Mani Pedi,Mani Pedi,Nails,,90,
Sydney Nail Spa,Specialty Mani Pedi,Spa Manicure & Pedicure,"Complete filing and shaping of finger nails, cuticle care, hand and arm massage with a soothing warm lotion and your choice of polish. + A whirlpool foot soak revives feet. Nails are shapes, cuticles care. Foot mssage by using a deep hydration lotion followed by hot steam towels. Paraffin dipped and your choice of polish.",Specialty Mani Pedi,Mani Pedi,Nails,45,52,
Sydney Nail Spa,Specialty Mani Pedi,Sydney Signature Mani Pedi,"This treatment is great for neglected hands. After shaping and cuticle care, a gentle exfoliation of sea salt hand soak to remove dead skin cells to even skin color and texture. Deep cooling masque will be applied. Then nourished and massage them with an intense hydration moisturizer. Finish with a paraffin dipping and your choice of polish. + Feet are soaked in a blend of essential oils to revitalize. Sea salts and foot scrubs are used to exfoliate the foot and leg. A relaxing foot masque with Peppermint oil will re-energize, hydrate and leave the foot soft and cool for hours. The feet are dipped in warm paraffin wax t oseal in nourishing moisture for ultra-hydrated and satin finish.",Specialty Mani Pedi,Mani Pedi,Nails,80,95,
Ten Zen Nail Spa,Specialty Mani Pedi,Specialty Mani Pedi,"Enjoy a cup of CBD infused tea while your nails and cuticles are groomed to perfection as hands or feet are immersed in a luxurious blend of pharmaceutical grade epsom, pink himalayan and ethically sourced Dead Sea Salts infused with a proprietary blend of the highest quality essential oils, carrier oils and organically grown hemp - derived CBD.  The salts are created into a scrub to exfoliate and renew skin. Warm intensive collagen treatment gloves and warm keratin socks are used to provide nourishing care and soothe the skin.  Indulge your senses in a soothing aromatherapeutic hot stone massage with anti-inflammatory and pain relieving benefits.  The experience concludes with an application of a moisturizing fusion of aloe, sunflower oil, shea butter and jojoba oil infused with hemp-derived CBD, known to aid in healing skin conditions, reduce nerve sensitivity to pain, and to assist with skin regeneration. Natural buff or lacquer of your choice. ",Specialty Mani Pedi,Mani Pedi,Nails,,150,
Ten Zen Nail Spa,Specialty Mani Pedi,Specialty Mani Pedi,"Choice of:
Lavender, Mint, Citrus or Milk & Honey: Start with a soothing aromatherapy soak to relieve stress, fatigue and soften cuticles.  Nails are trimmed and cuticles groomed to perfection. A treatment mask with an exclusive blend of essential minerals is applied to heal and remove impurities from the skin.  A massage is done with your choice of an aromatherapy scented warm oil,  followed by a natural buff or polish of your choice.  + Relax with a soothing aromatherapy soak to relieve stress and fatigue. Nails are trimmed and cuticles are softened and groomed to perfection. Dry skin is exfoliated and polished with an alluring sugar scrub specially formulated with natural oils that penetrate deeply to soften and moisturize skin. Callus softening for the soles and an organic warming butter treatment mask infused with an exclusive blend of essential minerals is applied to help regenerate and revitalize skin texture and appearance. Indulge in a relaxing aromatherapy warm oil massage, followed by a natural buff or polish of your choice. �",Specialty Mani Pedi,Mani Pedi,Nails,,110,
The Upper Hand,Specialty Mani Pedi,The Upper Hand Manicure & Pedicure,Our classic manicure with extra pampering.+ Cooling Mask or Hot Paraffin Wax + Hot Stone Massage,Specialty Mani Pedi,Mani Pedi,Nails,,85,
Thi Spa & Nails,Specialty Mani Pedi,Refresh-Mint Mani Pedi,"Minty soak, pepermint scrub and massage, plus a warm paraffin dip to seal in the moisture",Specialty Mani Pedi,Mani Pedi,Nails,,92,
Tiptoes Nail Spa,Specialty Mani Pedi,Specialty Mani Pedi,"This upgraded treatment includes nail/cuticle care, warm lotion massage and a choice of mask or paraffin wax treatment.� ",Specialty Mani Pedi,Mani Pedi,Nails,,78,
Vanity Beauty Lounge,Specialty Mani Pedi,Soothing Soy Milk Mani Pedi,"Pure & simple. These award-winning products are full of proteins and amino acids that will hydrate and regenerate your skin, a perfect service to nurture and soothe your hands and feet.",Specialty Mani Pedi,Mani Pedi,Nails,67,72,
Vanity Beauty Lounge,Specialty Mani Pedi,Pure Pomegranate Mani Pedi,"Loaded with antioxidants, this premium service is the perfect additive for your hands and toes. Not only will your skin look vibrant and healthy, you�ll also feel like a goddess.",Specialty Mani Pedi,Mani Pedi,Nails,82,86,
Vanity Beauty Lounge,Specialty Mani Pedi,Luxurious Lavender & Vanilla Candle Mani Pedi,"We light a fragrant soy candle at the beginning of your service, which later turns into a melted lotion which we smooth right onto your hands and feet. This relaxing aromatherapy service uses pure essential oils and natural raw ingredients to relax and balance the senses.",Specialty Mani Pedi,Mani Pedi,Nails,92,99,
White Daisy Nail Spa,Specialty Mani Pedi,Specialty Mani Pedi,"Enjoy the benifit of our traditional nail care and Shea Butter Salt Scrub, plus a triple dipping inwarm paraffin wax for extra moisturizing.",Specialty Mani Pedi,Mani Pedi,Nails,70,80,
White Daisy Nail Spa,Specialty Mani Pedi,Specialty Mani Pedi,"Complete grooming including butter scrub, warmbuttered finger or toes, mas",Specialty Mani Pedi,Mani Pedi,Nails,60,65,
White Daisy Nail Spa,Specialty Mani Pedi,Specialty Mani Pedi,"An The treatment begins with a Shea Butter Salt,gently buff away dull skin cell and lea leaving your hands and feet perfectly polish and hydrated with body butter cream rub",Specialty Mani Pedi,Mani Pedi,Nails,55,59,
White Daisy Nail Spa,Specialty Mani Pedi,Specialty Mani Pedi,Submerge your feet in a warm milk bath with rose petals then exfoliate with milk & honey scrub. This treatment leaves hand and feet silky solf and moiturized. Experience with butter/warm booties.,Specialty Mani Pedi,Mani Pedi,Nails,,74,
7 Nail Spa,Specialty Manicure,Specialty Manicure,,Specialty Manicure,Manicure,Nails,,15,
Boniva Nail Spa,Specialty Manicure,Special Manicure,,Specialty Manicure,Manicure,Nails,,42,
Cascade Nail & Spa,Specialty Manicure,Specialty Manicure,,Specialty Manicure,Manicure,Nails,,25,
Cascade Nail & Spa,Specialty Manicure,Specialty Manicure,,Specialty Manicure,Manicure,Nails,,38,
Cascade Nail & Spa,Specialty Manicure,Specialty Manicure,,Specialty Manicure,Manicure,Nails,,26,
Castro Nail Salon,Specialty Manicure,Specialty Manicure,"Our smoothing milk and honey foot bath, softens, heals and hydrates. It includes your own personalized hand care treatment, nail shaping, cuticle care, moisturizing massage, hot towel service, warm lotion and polish.",Specialty Manicure,Manicure,Nails,,25,
Castro Nail Salon,Specialty Manicure,Specialty Manicure,"Our luxurious castro manicure is one of the most pampering and beautifying treatments your hands can recieve. it includes our softening paraffin treatment, passion fruit exfoliation and aromatherapy massage, lotion and polish.",Specialty Manicure,Manicure,Nails,,35,
City Famous Nail Spa,Specialty Manicure,Specialty Manicure,,Specialty Manicure,Manicure,Nails,,30,
Cocoon Urban Day Spa,Specialty Manicure,Specialty Manicure,"Shaping and cuticle care followed by a mango and guava scrub, heated mittens and our signature massage.",Specialty Manicure,Manicure,Nails,,32,
Cocoon Urban Day Spa,Specialty Manicure,Specialty Manicure,"This is the ultimate in care for your hands, begins with an exfoliating hand scrub, nail and cuticle care, steam, paraffin dip with serious time given to massage.",Specialty Manicure,Manicure,Nails,,42,
Diane Nails Care,Specialty Manicure,Full Set Gel Powder,,Specialty Manicure,Manicure,Nails,,45+,
Diane Nails Care,Specialty Manicure,Fill In Gel Powder,,Specialty Manicure,Manicure,Nails,,40+,
Four Seasons Nail & Spa,Specialty Manicure,Deluxe Spa Medicure (10 min massage & Paraffin wax),,Specialty Manicure,Manicure,Nails,,40,
Four Seasons Nail & Spa,Specialty Manicure,Deluxe Manicure (10 min massage & Paraffin wax),,Specialty Manicure,Manicure,Nails,,30,
Gelous Nails,Specialty Manicure,Deluxe Manicure,,Specialty Manicure,Manicure,Nails,,20,
Gentle Nails Salon,Specialty Manicure,Gun Oil Mani,,Specialty Manicure,Manicure,Nails,,30,
Gentle Nails Salon,Specialty Manicure,Deluxe Mani,,Specialty Manicure,Manicure,Nails,,40,
Green Spa & Nail,Specialty Manicure,Deluxe Manicure (Massage & Paraffin),,Specialty Manicure,Manicure,Nails,,25,
Haight Street Nails,Specialty Manicure,Specialty Manicure,"The acid exfoliation will rejuvenate and deeply hydrate your skin, helping to restore skin to a more youthful apperance. Skin is left radiant and glowing.",Specialty Manicure,Manicure,Nails,,18,
Hand Job Spa,Specialty Manicure,Specialty Manicure,"Our classic Mani with an addition of a sugar scrub to exfoliate dead tissue and give your skin a healthy glow. Service includes a longer hand massage, and you'll be ready to knock 'em dead. ",Specialty Manicure,Manicure,Nails,,35,
Hand Job Spa,Specialty Manicure,Specialty Manicure,"Our most popular manicure and pedicure focuses on keeping your hands and feet looking young and healthy. The service includes a peel (callous treatment), organic sugar scrub, mask, and warm parafin dip for super soft hands and feet. ",Specialty Manicure,Manicure,Nails,,50,
It's M3 Time Nail Salon,Specialty Manicure,Luxury Manicure,"Citrus manicure, extended warm lotion massage, hot stone massage, paraffin wax, Luxury pedicure + foot steep in pedi bomb (a fragrant fizz) with citrus + minty mask + exfoliating",Specialty Manicure,Manicure,Nails,,25,
It's M3 Time Nail Salon,Specialty Manicure,Citrus Orange Splash Manicure,Luxury manicure + orange sugar scrub + 10 min massage with orange luxury lotion + paraffin wax,Specialty Manicure,Manicure,Nails,,30,
JoJe Nail Spa,Specialty Manicure,JoJe Deluxe Mani,"Start with essential oils bath, Shaping & cuticle care, Special hand scrub, Warm organic coconut butter hand massage (5), Hot towels.",Specialty Manicure,Manicure,Nails,,22,
JoJe Nail Spa,Specialty Manicure,JoJe Platinum Mani,"JoJe rosie platinum milk bath, Shaping & cuticle care, Exfoliating hand scrub, Hydrating hand mask, JoJe signature hand massage with organic coconut butter (10), Paraffin treatment",Specialty Manicure,Manicure,Nails,,35,
La Petite Nail Shop,Specialty Manicure,Specialty Manicure,"Indulge in our exquisite CBD manicure. Stress eliminating relaxation with a cannabis infused hand scrub, moisturizing CBD cream soak, CBD pain relieving hot cream massages & finish off with paraffin. You rhands & fingers will love you for it.",Specialty Manicure,Manicure,Nails,,65,
